SUM|BRK|BB|4,807.0000|$64,991.43|$56,065.57|-$6,085.64|$2,840.22
SUM|BRK|BMBL|1,882.0000|$68,764.46|$67,174.77|-$1,589.69|
BRK|MGI|12/07/2021|11/15/2021|Sell|1,232.0000|$12,102.67|$8,776.29|-$3,326.38
BRK|MGI|12/07/2021|11/15/2021|Sell|887.0000|$8,649.89|$6,318.64|-$2,331.25
BRK|MGI|12/07/2021|11/15/2021|Sell|124.0000|$1,028.81|$883.33|-$145.48
BRK|MGI|12/07/2021|11/15/2021|Sell|4,940.0000|$34,359.74|$35,190.63|$830.89
BRK|MGI|12/07/2021|11/15/2021|Sell|1,796.0000|$13,001.58|$12,794.00|-$207.58
BRK|MGI|12/07/2021|11/15/2021|Sell|2,340.0000|$16,523.12|$16,669.25|$146.13
BRK|MGI|12/07/2021|11/15/2021|Sell|516.0000|$3,617.77|$3,675.78|$58.01
BRK|MGI|12/07/2021|11/15/2021|Sell|2,144.0000|$15,735.59|$15,273.02|-$462.57
BRK|MGI|12/07/2021|11/15/2021|Sell|941.0000|$6,677.19|$6,703.32|$26.13
BRK|MGI|12/07/2021|11/15/2021|Sell|1,794.0000|$17,719.85|$12,779.75|-$4,940.10
BRK|MGI|12/07/2021|11/16/2021|Sell|3,264.0000|$25,093.68|$23,251.46|-$1,842.22
BRK|MGI|12/07/2021|11/22/2021|Sell|1,112.0000|$7,761.72|$7,921.45|$159.73
BRK|MGI|12/07/2021|11/22/2021|Sell|6,119.0000|$41,125.59|$43,589.36|$2,463.77
BRK|MGI|12/07/2021|11/22/2021|Sell|3,258.0000|$21,873.55|$23,208.72|$1,335.17
BRK|MOMO|05/10/2021|02/05/2021|Sell|1,809.0000|$31,286.66|$25,315.92|-$5,970.74
BRK|MOMO|06/02/2021|05/24/2021|Sell|39.0000|$670.04|$554.00|-$116.04
BRK|MTCH|12/02/2021|11/24/2021|Sell|313.0000|$42,391.16|$39,921.70|-$2,469.46
BRK|MTCH|12/02/2021|11/24/2021|Sell|56.0000|$7,584.36|$7,141.42|-$442.94
BRK|MTCH|12/02/2021|11/26/2021|Sell|165.0000|$21,596.29|$21,033.76|-$562.53
BRK|MTCH|12/02/2021|11/26/2021|Sell|140.0000|$19,428.67|$17,853.55|-$1,575.12
BRK|MTCH|12/02/2021|11/26/2021|Sell|173.0000|$24,008.29|$22,053.58|-$1,954.71
BRK|MTCH|12/02/2021|11/26/2021|Sell|56.0000|$7,772.59|$7,138.73|-$633.86
BRK|PXS|05/14/2021|05/11/2021|Sell|31,500.0000|$25,197.76|$25,829.87|$632.11
BRK|PXS|05/14/2021|05/11/2021|Sell|11,974.0000|$9,579.13|$9,818.63|$239.50
BRK|PXS|05/14/2021|05/11/2021|Sell|4.0000|$3.20|$3.28|$0.08
BRK|PXS|05/14/2021|05/11/2021|Sell|23,741.0000|$19,228.87|$19,467.52|$238.65
BRK|PXS|11/26/2021|11/22/2021|Sell|20,000.0000|$13,399.85|$13,199.93|-$199.92
BRK|PXS|12/01/2021|11/22/2021|Sell|2,350.0000|$1,574.48|$1,515.74|-$58.74
BRK|PXS|12/02/2021|11/22/2021|Sell|4,023.0000|$2,695.38|$2,349.02|-$346.36
BRK|PXS|12/02/2021|11/22/2021|Sell|4,329.0000|$2,900.40|$2,473.02|-$427.38
